Object,Date,Price,Location,Seller,Image,Link
Medieval Bronze Seal Matrix,,149.00,"London, United Kingdom",zokasas,https://i.ebayimg.com/images/g/x2cAAOSw1XNeq-bU/s-l400.jpg,https://www.ebay.co.uk/itm/Medieval-Bronze-Seal-Matrix/202979886836?_trkparms=ispr%3D1&hash=item2f428b46f4:g:x2cAAOSw1XNeq-bU&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKxIntehGqQQl8nLx%2FEZs3Rty5hlkhcpDic929HoGhhONy4sZz7HAvjs0eNpLsff3BZC7FB4332hqgKclg3t9p1Nm2oj15UPUIieLpG2fPmqqTdaKlEZwp0pTbOg3MiF1HmmHuRqaF7fJK5C0IU2FloRtV968EAvcrR%2B0Hnh%2BpWi%2Fyaf9V5S8JpUVuqnmAIkq5lSdUrgidopPzVfvIBZrOgH5p%2BgKDzdoS%2B7X26gxTvdoPQX0lTGdRx9dQynqKQnlr%2F7%2FsW5jS%2BKitfIy4vJJCkBRS%2BjCCKdlDxYhlAEBWMIPA2xvRm%2BYpVKW5AQqeZCalpp1qDHvd6jINVnmL4WRGK3oLTYkFCuMpdg35WpCANT%2FGtTbcFIslxtK2AR5whfA1Wc8yplOgyQgGUd%2FBnhV0LEn6MvhE4p4FjYrhSBq6xd%2FkZ78TAyjiJnRlLmsIBo1dmAr45XAQDX8pYu%2Fy4LsMqW5niM6d0InK83Gk1CTIGljUQBtb0NEUoh6encgEWJNUo5sFENdWwODudcUoualLz3iyzfWKfzXjsiZSwUNlQEAZNn8OeCWOld3hflVjHF8KzA60%2BWIP5nfFYWLYx8AFtiS4HvFvF4nYpvB51Oxjst2xCH9IN8sh8m1U0kenFFGFAg2oGuUDoTvzp8rRiMnKrHTXeY6PG2%2BFEbY%2FUijsZtScOw6vjJ4m8zsD5TYLjBhkrD61YwxKKrTP75KDOv4Z4COnC4GewCiPTd5KfTbNJfZ8ciLtP%2FGskeOHxml%2Bfa0G&checksum=20297988683649fc5e4322074abb9edfd965d1fd1808
1ST-2ND CENTURY ANCIENT ROMAN STATUETTE OF A YOUNG BOY / GENUINE ARTIFACT,,849.00,"Burton upon Trent, United Kingdom",coin.empire,https://i.ebayimg.com/images/g/VswAAOSwg6Veb4gS/s-l400.jpg,https://www.ebay.co.uk/itm/1ST-2ND-CENTURY-ANCIENT-ROMAN-STATUETTE-OF-A-YOUNG-BOY-GENUINE-ARTIFACT/164126764511?_trkparms=ispr%3D1&hash=item2636b7addf:g:VswAAOSwg6Veb4gS&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKym2Jdff8P6pcVkPslsrmD09tih5oyMXu%2BqSpsQ8L0RrGQPSXiRx8gpm6MLINjtgnLwSTWwtLneKCkk%2FsYIOAYWxzW0bCPhasO7sDu2oYIyohm1YVrtBsANDuKj%2BTFHsOxBEEHqW7cTds%2FOp%2B8e66N%2FUKZaQ61MbpVXjU0kMk1Ij34DVlYVJx6HdA9OaVNvOi%2BJenCBvTwchceP%2FHN0Pv0%2Fhj1kpCn%2FFfD9FysRgHHwwmp2TRlVwUFddVLsxCQ8yyQmTRqTDGXKbjYZ6SZ6IYdXfnWA%2B2ZMHxrn5Svg0BKv648kLkbpnWL2Y9oFtRZNUkIctKwEon4RuDQ9vmnRKengae2XZRY9NU02b5eprwAUtROVd5NAtxUUHhJNCMYpWdgTV36bExDqt8m5zWBshE3aOi6RxESq29uDxeFdB7diH5Zvgl8EsxIi3qIwJyv0JcuJ9wZRl%2BvySniCygUoTQlCVdO8fYvusnWoAk%2FRfPsv%2Bkvf2qj33yKdO3FIwx%2Bmb79cZk8%2B%2Bjx7B6xDsb4dB8NFtm0368GQDlLxCzkD%2FsBNKxYRVVB6cmxM89gu2IaA2Amlt%2BaREqLeG03JSvDbxVacyVf2DjnLQghFRCh3vnbgYE5FBRm9cRwzQNyiVc4PPoZA5Ug0U5fGpKFnujZD%2BI%2FuCD9ObZJiIAGGUVYuP5a6yIUF3dfIaL3v1mRvBg%2BLM7%2BowcQ73OhymspMxrPYpm%2BdWrYy%2FMoR1VSVYQC2FoevHgaLZYF9R0R0rR4%2BAvzhR%2F&checksum=16412676451149fc5e4322074abb9edfd965d1fd1808
ANCIENT EGYPTIAN HIEROGLYPHIC SHABTI (9) Large 16.5 cm !!!!,,7.50,"Forest Row, East Sussex, United Kingdom",hands_of_history,https://i.ebayimg.com/images/g/iaAAAOSwAiJepurP/s-l400.jpg,https://www.ebay.co.uk/itm/ANCIENT-EGYPTIAN-HIEROGLYPHIC-SHABTI-9-Large-16-5-cm/313065848141?hash=item48e42dbd4d:g:iaAAAOSwAiJepurP
Roman Gold Strip in Iron,,4.99,"b""Bishops Stortford, United Kingdom""",del550,https://i.ebayimg.com/images/g/qWoAAOSwpWJerDL-/s-l400.jpg,https://www.ebay.co.uk/itm/Roman-Gold-Strip-in-Iron/153915598137?hash=item23d615a539:g:qWoAAOSwpWJerDL-
ULTRA RARE PHOENICIAN ANIMAL STATUETTE  SUPER QUALITY (VERY LARGE SIZE) (2),,10.25,"Forest Row, East Sussex, United Kingdom",hands_of_history,https://i.ebayimg.com/images/g/UsEAAOSw6WleptQ8/s-l400.jpg,https://www.ebay.co.uk/itm/ULTRA-RARE-PHOENICIAN-ANIMAL-STATUETTE-SUPER-QUALITY-VERY-LARGE-SIZE-2/313065785635?hash=item48e42cc923:g:UsEAAOSw6WleptQ8
Vintage penny token / coin Dated 1813 TS Hobson Button Makers detecting detector,,4.95,"Pontefract, West Yorkshire, United Kingdom",craig20050,https://i.ebayimg.com/images/g/FzcAAOSwqG1elu~O/s-l400.jpg,https://www.ebay.co.uk/itm/Vintage-penny-token-coin-Dated-1813-TS-Hobson-Button-Makers-detecting-detector/392763573172?hash=item5b728883b4:g:FzcAAOSwqG1elu~O
BEAUTIFUL ANCIENT EGYPTIAN STONE SAFEBOX WITH HEIROGLYPHICS,,10.50,"Didcot, United Kingdom",antiquiti,https://i.ebayimg.com/images/g/Uc8AAOSwTztepv9G/s-l400.jpg,https://www.ebay.co.uk/itm/BEAUTIFUL-ANCIENT-EGYPTIAN-STONE-SAFEBOX-WITH-HEIROGLYPHICS/153911057437?hash=item23d5d05c1d:g:Uc8AAOSwTztepv9G
Roman Brooch Metal Detecting,,0.99,"Norwich, United Kingdom",darkknight72,https://i.ebayimg.com/images/g/lFIAAOSwytherG98/s-l400.jpg,https://www.ebay.co.uk/itm/Roman-Brooch-Metal-Detecting/193446201496?hash=item2d0a4ac898:g:lFIAAOSwytherG98
Anglo Saxon Solid Silver \xe2\x80\x9c Python Head \xe2\x80\x9c Strap End-Garnet Eyes-Unique Artefact,,1.25,"Eye, United Kingdom",rtfacts1905,https://i.ebayimg.com/images/g/qE4AAOSwVhxerHka/s-l400.jpg,https://www.ebay.co.uk/itm/Anglo-Saxon-Solid-Silver-Python-Head-Strap-End-Garnet-Eyes-Unique-Artefact/153915903778?hash=item23d61a4f22:g:qE4AAOSwVhxerHka
ULTRA RARE PHOENICIAN STATUETTE 300BC SUPER QUALITY (2),,8.50,"Forest Row, East Sussex, United Kingdom",hands_of_history,https://i.ebayimg.com/images/g/p8EAAOSwoJ5eps4s/s-l400.jpg,https://www.ebay.co.uk/itm/ULTRA-RARE-PHOENICIAN-STATUETTE-300BC-SUPER-QUALITY-2/313065766212?hash=item48e42c7d44:g:p8EAAOSwoJ5eps4s
Antique Russian Soviet Porcelain Art Deco Bowl by Proletariy fact 1927 #4,,10.00,"leeds, United Kingdom",fedorasvetlana,https://i.ebayimg.com/images/g/COoAAOSw2aJeq0cl/s-l400.jpg,https://www.ebay.co.uk/itm/Antique-Russian-Soviet-Porcelain-Art-Deco-Bowl-by-Proletariy-fact-1927-4/143593338490?hash=item216ed4767a:g:COoAAOSw2aJeq0cl
"EGYPTIAN STATUE, LATE PERIOD 664 - 332 BC (4)",,11.50,"Forest Row, East Sussex, United Kingdom",hands_of_history,https://i.ebayimg.com/images/g/-UcAAOSwyylepuhE/s-l400.jpg,https://www.ebay.co.uk/itm/EGYPTIAN-STATUE-LATE-PERIOD-664-332-BC-4/313065841655?hash=item48e42da3f7:g:-UcAAOSwyylepuhE
BEAUTIFUL ANTIQUE CHINESE JADE STONE ORNAMENT DEPICTING DRAGONS,,0.99,"Didcot, United Kingdom",antiquiti,https://i.ebayimg.com/images/g/uZQAAOSwvLtepwoI/s-l400.jpg,https://www.ebay.co.uk/itm/BEAUTIFUL-ANTIQUE-CHINESE-JADE-STONE-ORNAMENT-DEPICTING-DRAGONS/153911096704?hash=item23d5d0f580:g:uZQAAOSwvLtepwoI
Collection of Scarce Medieval Lead Apothecaries Weights,,0.99,"Brentwood, United Kingdom",taylajack7-0,https://i.ebayimg.com/images/g/fOAAAOSwYAperCFj/s-l400.jpg,https://www.ebay.co.uk/itm/Collection-of-Scarce-Medieval-Lead-Apothecaries-Weights/193445839916?hash=item2d0a45442c:g:fOAAAOSwYAperCFj
Neolithic Flint Arrowhead,,34.99,"Meopham, United Kingdom",chelseatearooms,https://i.ebayimg.com/images/g/XfcAAOSwYNperEfM/s-l400.jpg,https://www.ebay.co.uk/itm/Neolithic-Flint-Arrowhead/333588834286?hash=item4dab71a7ee:g:XfcAAOSwYNperEfM
Roman artifacts metal detecting finds,,5.00,"Worthing, United Kingdom",traceflet7,https://i.ebayimg.com/images/g/bUEAAOSwZLleqXS3/s-l400.jpg,https://www.ebay.co.uk/itm/Roman-artifacts-metal-detecting-finds/313067962674?hash=item48e44e0132:g:bUEAAOSwZLleqXS3
1ST-2ND CENTURY ANCIENT ROMAN STATUETTE OF A YOUNG BOY / GENUINE ARTIFACT,,849.00,"Burton upon Trent, United Kingdom",coin.empire,https://i.ebayimg.com/images/g/VswAAOSwg6Veb4gS/s-l400.jpg,https://www.ebay.co.uk/itm/1ST-2ND-CENTURY-ANCIENT-ROMAN-STATUETTE-OF-A-YOUNG-BOY-GENUINE-ARTIFACT/164126764511?_trkparms=ispr%3D1&hash=item2636b7addf:g:VswAAOSwg6Veb4gS&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKym2Jdff8P6pcVkPslsrmD09tih5oyMXu%2BqSpsQ8L0RrGQPSXiRx8gpm6MLINjtgnLwSTWwtLneKCkk%2FsYIOAYWxzW0bCPhasO7sDu2oYIyohm1YVrtBsANDuKj%2BTFHsOxBEEHqW7cTds%2FOp%2B8e66N%2FUKZaQ61MbpVXjU0kMk1Ij34DVlYVJx6HdA9OaVNvOi%2BJenCBvTwchceP%2FHN0Pv0%2Fhj1kpCn%2FFfD9FysRgHHwwmp2TRlVwUFddVLsxCQ8yyQmTRqTDGXKbjYZ6SZ6IYdXfnWA%2B2ZMHxrn5Svg0BKv68ZoX4mVkAmF7vHLj%2FH4%2Bpnngjm4bductnTUvHnXbMUEQeILiK76Nn3pkgDYJcI664pJRijz8Zj%2BXzZp3ZrMsU68%2BMNIfjNRUsz%2FxEQnY4gA2jb4FbVJfsIk4%2FHhxyh7vAuE4FZcgrderkklQsgf%2F%2BTkw5XrN3vEtv%2F9Z318%2BExzDeU5e1c6BS7YcwWSm5IZalQRsMv4S9c%2Fbj6EvPfKLGTy%2BccuFi2%2BiefEMWZVfH0t78pa7dRPDQ%2F1NQFldAgnDM5TvoF0cUX2dF4hTFSQ2Se%2FHqqkE94ivSLtZEPiyf2BR1SYo7QKy7k%2Bj6pi1zuDTM6Rd05C07enkksuzD7fmIo9%2FPqkc6mhgunhHHCO21BuZDzgnmDdAtJq50Xmiyo5PKfjLOO8FgMZ5xxwwmcvHfyUQDksfPKRGeGSb%2BFRjnxRMiebSnMGuDd5w%2BrtzQJMgRBut8wT2%2BrZmHYs44X37Z&checksum=164126764511f6ea62303b00421d829f9f8da11c305a
Excellent Celtic/Roman spearhead - Circa. 100 BC - 100 AD,,69.99,"Aberystwyth, United Kingdom",the_little_treasure_house,https://i.ebayimg.com/images/g/ePwAAOSw1jJeZ6Ko/s-l400.jpg,https://www.ebay.co.uk/itm/Excellent-Celtic-Roman-spearhead-Circa-100-BC-100-AD/324098931089?_trkparms=ispr%3D1&hash=item4b75cd3991:g:ePwAAOSw1jJeZ6Ko&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKtMiVu7s8Kj2Ur48i56ldd%2B%2F1kKzrHLtJRewDunvZxp5SZSJhhMRRRphOClBvCZPBQJgyymtqYN3f%2BB0xM70e0Hz5lDmcdRzP%2Bvms4v7mTDvBzNclKl2ZeEQvH10zLxe6YqlB3JFCqJ%2FglaHL74miWXelgx2M7m9Hn9AjH2e0%2BeMTY7okOR9xaeTvQ06EaSZ10G2I%2BRUFrGDzGTZnNnNilgWBbNoda0KJRV0i3qCasZLQRRJFRIOkdLBMkKYxcB3UIdLMomrc5TGNfur691iXK7rE0d3w8aEuXLo0Po9czIx8l%2FoMIpSCZnG8xrWJv7mzs%2FG2YNYktmFYeOgvPATQlckaEW7ExV0tARyUWvOoRVcQ2EbmvXypM2W8ccIfWYDZuiYbOj5m7FjyAmgkNmvYJKXdwWJ9aJjgFmrYOm%2F%2FReMAmlrmmS%2F%2FzpVGRAkvSk2jKmVYuc9TIIcqyEkm1YKy2U88QMEf4dkPdufeK1qamnaNv6HrvtkI%2FWlWqsdBPxxoQ8cm17dQcU68mf%2Fhlmyz4UeoD5p64DI%2BLO6xC2wopC%2FBakGk5%2FS36akbkLIjmHMNkXIOH9fKrPqfHFXJidpNYifrB8Rwqpte5a0zkOlzuacr2tAqAHW7WjH2XjMhIej4l%2Bd%2BxDqaa6txP1mEK9qQ3UbYqhC0uX9elRfN1pSXYFYeQNELJmtzFnyleXhDZ6QUnAvvQ%2BoEhVcsK752CQsTHzY6QVrdtRhswH56H9SaPUHUFABtrJASKwZs7MLgP9LN&checksum=324098931089f6ea62303b00421d829f9f8da11c305a
Stunning 12th Century Early Medieval Limoges Bronze & Enamelled Floral Pendant.,,9.99,"Kings Lynn, United Kingdom",clarks-curiosities,https://i.ebayimg.com/images/g/BnkAAOSwGVVerB7S/s-l400.jpg,https://www.ebay.co.uk/itm/Stunning-12th-Century-Early-Medieval-Limoges-Bronze-Enamelled-Floral-Pendant/202980026539?hash=item2f428d68ab:g:BnkAAOSwGVVerB7S
"7X CIVIL WAR EREA LARGE LEAD BULLETS 0.58 X 1"" : HAMPSHIRE DETECTING FINDS",,0.99,"Southampton, United Kingdom",detecmarktime,https://i.ebayimg.com/images/g/I24AAOSw58Zepagm/s-l400.jpg,https://www.ebay.co.uk/itm/7X-CIVIL-WAR-EREA-LARGE-LEAD-BULLETS-0-58-X-1-HAMPSHIRE-DETECTING-FINDS/274348285227?hash=item3fe06e9d2b:g:I24AAOSw58Zepagm
"ROMAN BRONZE PHALLIC FERTILITY PHALLUS AMULET,Circa 200-300 AD",,2.20,"Manchester, United Kingdom",profiwall,https://i.ebayimg.com/images/g/tKgAAOSw91teqGwu/s-l400.jpg,https://www.ebay.co.uk/itm/ROMAN-BRONZE-PHALLIC-FERTILITY-PHALLUS-AMULET-Circa-200-300-AD/133397426593?hash=item1f0f1b31a1:g:tKgAAOSw91teqGwu
Antique Victorian Mother of Pearl Card Case 10.5 x 7.5 x 0.9 cm,,20.00,"London, London, United Kingdom",natanatastas,https://i.ebayimg.com/images/g/fGwAAOSwhLlerVM8/s-l400.jpg,https://www.ebay.co.uk/itm/Antique-Victorian-Mother-of-Pearl-Card-Case-10-5-x-7-5-x-0-9-cm/324153527271?hash=item4b790e4be7:g:fGwAAOSwhLlerVM8
Metal detecting finds,,4.99,"London, United Kingdom",andrii.ye,https://i.ebayimg.com/images/g/0Q8AAOSwGIZelcap/s-l400.jpg,https://www.ebay.co.uk/itm/Metal-detecting-finds/133397396269?hash=item1f0f1abb2d:g:0Q8AAOSwGIZelcap
Ultra Rare Huge Stone Age Ancient Neolithic Anthropomorphic Idol 4500BC (6),,21.00,"Forest Row, East Sussex, United Kingdom",hands_of_history,https://i.ebayimg.com/images/g/SgYAAOSwUF1eptvF/s-l400.jpg,https://www.ebay.co.uk/itm/Ultra-Rare-Huge-Stone-Age-Ancient-Neolithic-Anthropomorphic-Idol-4500BC-6/313065809506?hash=item48e42d2662:g:SgYAAOSwUF1eptvF
6520\tAncient Roman iron powerful arrow - head,,4.20,"London, United Kingdom",petronius_2008,https://i.ebayimg.com/images/g/0dEAAOSwS~teqEnq/s-l400.jpg,https://www.ebay.co.uk/itm/6520-Ancient-Roman-iron-powerful-arrow-head/174264804664?hash=item2892fde538:g:0dEAAOSwS~teqEnq
POST MEDIEVAL ANTIQUE ISLAMIC OTTOMANS SILVERED SMOKING PIPE,,0.99,"Didcot, United Kingdom",antiquiti,https://i.ebayimg.com/images/g/XP4AAOSwp2hepWhh/s-l400.jpg,https://www.ebay.co.uk/itm/POST-MEDIEVAL-ANTIQUE-ISLAMIC-OTTOMANS-SILVERED-SMOKING-PIPE/153909772193?hash=item23d5bcbfa1:g:XP4AAOSwp2hepWhh
BEAUTIFUL ANCIENT VIKING NORSE SILVER HACK WITH RUNIC DETAILING CIRCA 700-900AD,,0.99,"Beccles, United Kingdom",ancienthistoryltd,https://i.ebayimg.com/images/g/UDMAAOSw7SZeoE9z/s-l400.jpg,https://www.ebay.co.uk/itm/BEAUTIFUL-ANCIENT-VIKING-NORSE-SILVER-HACK-WITH-RUNIC-DETAILING-CIRCA-700-900AD/274345362142?hash=item3fe04202de:g:UDMAAOSw7SZeoE9z
Supreme Debossed Glass Ash Tray Deadstock Sold Out Colour Red,,41.00,"Ilford, United Kingdom",asneskutn0,https://i.ebayimg.com/images/g/uxMAAOSwPt9eqqaq/s-l400.jpg,https://www.ebay.co.uk/itm/Supreme-Debossed-Glass-Ash-Tray-Deadstock-Sold-Out-Colour-Red/184273250800?hash=item2ae78aa9f0:g:uxMAAOSwPt9eqqaq
Metal Detector Find Socket Axe Bronze Age Iron Age,,10.50,"Jersey, United Kingdom",antwag-41,https://i.ebayimg.com/images/g/NwEAAOSwxrJepfjI/s-l400.jpg,https://www.ebay.co.uk/itm/Metal-Detector-Find-Socket-Axe-Bronze-Age-Iron-Age/392777493249?hash=item5b735ceb01:g:NwEAAOSwxrJepfjI
ROMAN Bronze   BIRD FIBULA BROOCH- 200-400 AD (5),,2.20,"Brentwood, United Kingdom",kingcuno,https://i.ebayimg.com/images/g/WoYAAOSw8mderEGR/s-l400.jpg,https://www.ebay.co.uk/itm/ROMAN-Bronze-BIRD-FIBULA-BROOCH-200-400-AD-5/153915656629?hash=item23d61689b5:g:WoYAAOSw8mderEGR
"SUPERB ANCIENT ROMAN  SILVER STAMP RING WITH KNIGHT RIDING A HORSE 1,3 GR 19 MM",,7.50,"Wisbech, United Kingdom",ancientearth2006,https://i.ebayimg.com/images/g/qecAAOSwxuJeps2F/s-l400.jpg,https://www.ebay.co.uk/itm/SUPERB-ANCIENT-ROMAN-SILVER-STAMP-RING-WITH-KNIGHT-RIDING-A-HORSE-1-3-GR-19-MM/254581239460?hash=item3b46396ea4:g:qecAAOSwxuJeps2F
vintage silver ring metal detecting detector finds,,1.04,"Rotherham, United Kingdom",jamesey123456,https://i.ebayimg.com/images/g/vrgAAOSw6GxeqrJk/s-l400.jpg,https://www.ebay.co.uk/itm/vintage-silver-ring-metal-detecting-detector-finds/254583833227?hash=item3b4661028b:g:vrgAAOSw6GxeqrJk
Viking Bronze Bracelet,,40.00,"b""Bishops Stortford, United Kingdom""",del550,https://i.ebayimg.com/images/g/e10AAOSwTrZeqr5S/s-l400.jpg,https://www.ebay.co.uk/itm/Viking-Bronze-Bracelet/153914097649?hash=item23d5febff1:g:e10AAOSwTrZeqr5S
RARE ANCIENT PHOENICIAN PENDANT WITH GOLD DECORATION. SUPER QUALITY (2),,2.20,"Forest Row, East Sussex, United Kingdom",hands_of_history,https://i.ebayimg.com/images/g/cdkAAOSwGD9eptEV/s-l400.jpg,https://www.ebay.co.uk/itm/RARE-ANCIENT-PHOENICIAN-PENDANT-WITH-GOLD-DECORATION-SUPER-QUALITY-2/313065777707?hash=item48e42caa2b:g:cdkAAOSwGD9eptEV
Medieval Bronze Lamp,,40.00,"LONDON,DEPTFORD, United Kingdom",pesceniusniger,https://i.ebayimg.com/images/g/fDsAAOSwNoBeq-Z7/s-l400.jpg,https://www.ebay.co.uk/itm/Medieval-Bronze-Lamp/324152322277?hash=item4b78fbe8e5:g:fDsAAOSwNoBeq-Z7
BEAUTIFUL LATE ROMAN SILVER SEAL RING WITH WINGED NIKE DEPICTED ON BEZEL,,7.50,"Didcot, United Kingdom",antiquiti,https://i.ebayimg.com/images/g/hM8AAOSwgEVeptlb/s-l400.jpg,https://www.ebay.co.uk/itm/BEAUTIFUL-LATE-ROMAN-SILVER-SEAL-RING-WITH-WINGED-NIKE-DEPICTED-ON-BEZEL/153910912644?hash=item23d5ce2684:g:hM8AAOSwgEVeptlb
RARE ANCIENT NEAR EASTERN CLAY TABLET WITH EARLY FORM OF WRITING C. 2000-3000B.C,,5.50,"Forest Row, East Sussex, United Kingdom",hands_of_history,https://i.ebayimg.com/images/g/tcAAAOSw5CNept0H/s-l400.jpg,https://www.ebay.co.uk/itm/RARE-ANCIENT-NEAR-EASTERN-CLAY-TABLET-WITH-EARLY-FORM-OF-WRITING-C-2000-3000B-C/313065811270?hash=item48e42d2d46:g:tcAAAOSw5CNept0H
CIRCA 200BC-200AD ANCIENT BACTRIAN CHLORITE STONE SEATED TEMPLE DIETY RARE,,9.38,"Didcot, United Kingdom",antiquiti,https://i.ebayimg.com/images/g/muMAAOSwv-5epsW1/s-l400.jpg,https://www.ebay.co.uk/itm/CIRCA-200BC-200AD-ANCIENT-BACTRIAN-CHLORITE-STONE-SEATED-TEMPLE-DIETY-RARE/153910852541?hash=item23d5cd3bbd:g:muMAAOSwv-5epsW1
CIRCA 3000 BCE NEAR EASTERN CLAY TABLET WITH EARLY FORM OF WRITING RARE,,24.00,"Didcot, United Kingdom",antiquiti,https://i.ebayimg.com/images/g/xlMAAOSwTqBepwUM/s-l400.jpg,https://www.ebay.co.uk/itm/CIRCA-3000-BCE-NEAR-EASTERN-CLAY-TABLET-WITH-EARLY-FORM-OF-WRITING-RARE/153911079606?hash=item23d5d0b2b6:g:xlMAAOSwTqBepwUM
Medieval Bronze Seal,,20.00,"b""Bishops Stortford, United Kingdom""",del550,https://i.ebayimg.com/images/g/xLoAAOSwQGpeqBP9/s-l400.jpg,https://www.ebay.co.uk/itm/Medieval-Bronze-Seal/202977356473?hash=item2f4264aab9:g:xLoAAOSwQGpeqBP9
POST MEDIEVAL SILVER RING WITH OVERLAPPED HANDS,,89.00,"Evesham, United Kingdom",svistoy-26,https://i.ebayimg.com/images/g/v~4AAOSwqIJeiYVB/s-l400.jpg,https://www.ebay.co.uk/itm/POST-MEDIEVAL-SILVER-RING-WITH-OVERLAPPED-HANDS/313046628621?_trkparms=ispr%3D1&hash=item48e308790d:g:v~4AAOSwqIJeiYVB&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXK9t7xxMj3q%2B%2B%2Bz%2BPuf4iZrcgKJiiwxcAmtpto%2Bvq4YHyJNBC14KhI1lsWHXjpa%2FGURx1QXmS5rsMcYKinqvvYTB%2B3ziMFl4y2AfOQn2GC1UrPMHtd83joYYAjTiOa4u9TfbcRnCw07xvWVxvYhR3ataqmrmTzALdiw3PB1zNcxF4pYfM6Mer1yxbU0nO0Z%2FV8xGvrV2ENAOEa4ojLXiwcp9MBSjq8R5%2BjoJACbMIscg%2F3W1Gf6VxU%2B7KhIrj5peRbCJikfhCZfo5iN5lnlfNuY0s%2FV6jSCAWTaLbegmnQjNM5lhHZb5R5e1e6oQQEN4eHsyL9b2hZ%2FllKb3CRY3pLRE1d5hKXNbnUmCN%2FkrPCVtLEGO4rxUhtYiKdrr53lgO9yzWAgOhhcAMjpuJwSA0hnUH1%2FBLolCCrc2vb5eJUmkizk91%2FOIkB52xDdjUZW7kGHx8WRMkTFcej3nVHAeN44cSyexvoBoVKf8RXkwvpmqdZ5x%2BEZdpWzrTgX0zqH0N5M4Uw9WL8QvmOlmCUQipnC39AMR6rTh%2FACrQSq6efAb5%2BWjCQ6yyUjm1keNoJ12F5LJtCznfLF9ebu2IkLmq5nQIwKviIPQ2pi8QViGh89Hqszb93OZskWl2vmTRUewGrBQdfKwUuoXyJaGf6QyITaUg8h5cz3VhcjIU63qD91F%2BLEh2fNFcOwwL%2BhNMoa%2BhrH2%2F5nfMH5Ov%2FtYFV%2BMUctgCnXPQvRv5wKV1TK1bcpXNe4SzbuxJ5HA43pvZ8aX3d&checksum=313046628621f6ea62303b00421d829f9f8da11c305a
SOLID SILVER Threepence 1920 Coin Antique Vintage Old Retro London Royal Mint UK,,12.99,"Manchester, United Kingdom",notinashyway,https://i.ebayimg.com/images/g/Q34AAMXQ0v1Rcu5S/s-l400.jpg,https://www.ebay.co.uk/itm/SOLID-SILVER-Threepence-1920-Coin-Antique-Vintage-Old-Retro-London-Royal-Mint-UK/401740557356?_trkparms=ispr%3D1&hash=item5d899a6c2c:g:Q34AAMXQ0v1Rcu5S&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKPst8O3a018v1Mw9qxMpjJWQnAOPcPrJA2rjfx9b36%2Fv7DRBIftckHdvnAdsAsRu66ZstOVZUSWHNPpwazAPA%2BWkau%2BplpwTVMCV9ryDOeerIrhhAvL5gStoCgWqidlFmsDevmUPaKGFml9OxeF8bDjSu%2FXuj%2BS9VAzkU1wO0RFN2qPvlpP0MPfpUD92nEVHtnSMYq%2B7GAQuJrAyZwKUY%2BZ7sER49DMKbx317rLHMsBkEt7Gq0CC2xuW51m7Ciy0DoRcJtdYZ8Jq070euXi5OWXGMxsopW%2FPk%2BaPGVGr%2FdBby5WjewqjUv9BHHgfEptj12G1W81HqY%2BGb%2FHSmXyLSOjtJlgsdPTsn3ddOJRUgCjnRURfVl8eQxbUI3VytqnQZI2CIhAA3CoLC73oeY0m9n3P%2FG35zrJhzEt0Aeep%2Blkcxev16ST%2FX%2FNa8brsBJq%2FpuB%2BCTYjX0sgDOXyyjeEJr46Lkth0rXHrlcStjMVvYz2ahpMrwtNvMyria7d7B1nMmM5PmXQGk4WHWQYLNGBzDbo8WsZ0cQc0B%2BotC%2BrjKvBiHGIAzz8TGWz9LqCLVjqspJi6Ou%2FFWvOiSfuZf%2B8kf4xFe5QDPFBjOxYSd7O017C5bNgocqnIq8UHObFjmYsf7DQdMdZDlP6VaOkZC1NKkO%2BRWYbrTUPiRn6MhmboWWQ7OIlKjtt2rxjaDJtYAQEYNQMDonxi6pJbhSCMhNwty0hh%2BR1MFslgVJys8uodP9YdxaxKBDOd%2BATw%2FX0NjTf5&checksum=401740557356f6ea62303b00421d829f9f8da11c305a
BEAUTIFUL ANCIENT EGYPTIAN AMULET 300 BC (28),,3.20,"Forest Row, East Sussex, United Kingdom",hands_of_history,https://i.ebayimg.com/images/g/ihoAAOSwxzhepupV/s-l400.jpg,https://www.ebay.co.uk/itm/BEAUTIFUL-ANCIENT-EGYPTIAN-AMULET-300-BC-28/313065846816?hash=item48e42db820:g:ihoAAOSwxzhepupV
